refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0,5,1,3050,cluster11,cluster11
0.241817,5,1,6450,cluster11,cluster11
0.002934,4,1,1510,cluster11,cluster11
0,5,1,2290,cluster11,cluster11
0.598584,3,1,4090,cluster11,cluster11
0.5762,3,1,4120,cluster11,cluster11
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.39825,5,1,2020,cluster11,cluster7
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.446934,0,0,1550,cluster11,cluster15
0.244451,5,1,6440,cluster11,cluster11
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0.755067,3,1,1460,cluster11,cluster15
0,0,1,3420,cluster11,cluster11
0.574833,3,1,4110,cluster11,cluster11
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
0.765614,3,1,520,cluster11,cluster15
